Year,Total wins,Total loss,Clay wins,Clay loss,Hard wins,Hard loss,Grass wins,Grass loss,Total wins %,Clay wins %,Hard wins %,Grass wins %
2021,56,7,18,3,27,4,7,0,88.89,85.71,87.1,100.0
2020,47,7,16,2,31,5,0,0,87.03999999999999,88.89,86.11,0.0
2019,60,12,15,3,34,8,8,1,83.33,83.33,80.95,88.89
2018,54,13,11,5,32,7,11,1,80.60000000000001,68.75,82.05,91.67
2017,32,8,12,4,10,3,8,1,80.0,75.0,76.92,88.89
2016,65,10,16,2,45,6,2,2,86.67,88.89,88.24,50.0
2015,84,7,16,1,59,5,8,1,92.31,94.12,92.19000000000001,88.89
2014,65,11,14,2,44,9,7,0,85.53,87.5,83.02000000000001,100.0
2013,80,10,12,3,54,6,7,1,88.89,80.0,90.0,87.5
2012,79,12,16,4,53,5,10,3,86.81,80.0,91.38,76.92
2011,74,6,17,1,49,4,8,0,92.5,94.44,92.45,100.0
2010,62,20,10,4,39,14,6,2,75.61,71.43,73.58,75.0
2009,78,19,17,4,53,11,8,2,80.41,80.95,82.80999999999999,80.0
2008,68,17,16,3,46,11,5,2,80.0,84.21,80.7,71.43
2007,68,19,16,5,43,12,6,2,78.16,76.19,78.18,75.0
2006,48,21,19,6,20,12,4,2,69.57,76.0,62.5,66.67
2005,41,19,15,4,18,11,6,2,68.33,78.95,62.07,75.0
2004,59,15,39,7,20,8,0,0,79.73,84.78,71.43,0.0
