Year,Total wins,Total loss,Clay wins,Clay loss,Hard wins,Hard loss,Grass wins,Grass loss,Total wins %,Clay wins %,Hard wins %,Grass wins %
2021,9,4,3,1,1,1,5,2,69.23,75.0,50.0,71.43
2020,5,1,0,0,5,1,0,0,83.33,0.0,83.33,0.0
2019,57,10,9,2,37,7,11,1,85.07000000000001,81.82000000000001,84.09,91.67
2018,54,10,0,0,42,8,12,2,84.38,0.0,84.0,85.71
2017,56,6,0,0,44,5,12,1,90.32,0.0,89.8,92.31
2016,21,7,3,2,8,2,10,3,75.0,60.0,80.0,76.92
2015,64,14,13,4,38,9,11,1,82.05,76.47,80.85,91.67
2014,75,12,7,3,53,7,9,1,86.21,70.0,88.33,90.0
2013,45,17,12,5,28,11,5,1,72.58,70.59,71.78999999999999,83.33
2012,71,14,13,2,41,9,15,2,83.53,86.67,82.0,88.24
2011,65,13,12,4,46,8,4,1,83.33,75.0,85.19,80.0
2010,66,14,10,4,48,8,8,2,82.5,71.43,85.71,80.0
2009,65,13,17,2,39,11,7,0,83.33,89.47,78.0,100.0
2008,66,15,21,4,33,10,11,1,81.47999999999999,84.0,76.74,91.67
2007,70,10,16,3,46,7,6,0,87.5,84.21,86.79,100.0
2006,94,6,16,3,64,3,12,0,94.0,84.21,95.52000000000001,100.0
2005,84,4,14,2,57,2,12,0,95.45,87.5,96.61,100.0
2004,75,7,14,2,45,5,12,0,91.46,87.5,90.0,100.0
2003,78,17,15,4,46,12,12,0,82.11,78.95,79.31,100.0
2002,58,22,8,4,41,15,5,3,72.5,66.67,73.21,62.5
2001,49,21,9,5,28,12,9,3,70.0,64.29,70.0,75.0
2000,39,31,3,7,32,20,2,3,55.71,30.0,61.53999999999999,40.0
1999,30,24,4,6,22,12,3,3,55.559999999999995,40.0,64.71000000000001,50.0
