Year,Total wins,Total loss,Clay wins,Clay loss,Hard wins,Hard loss,Grass wins,Grass loss,Total wins %,Clay wins %,Hard wins %,Grass wins %
2021,25,7,19,3,6,4,0,0,78.12,86.36,60.0,0.0
2020,29,7,9,1,20,6,0,0,80.56,90.0,76.92,0.0
2019,58,10,21,3,27,4,5,3,85.28999999999999,87.5,87.1,62.5
2018,46,6,24,1,14,3,6,2,88.46000000000001,96.0,82.35,75.0
2017,72,13,24,1,44,10,4,2,84.71,96.0,81.47999999999999,66.67
2016,41,14,21,4,20,10,0,0,74.55000000000001,84.0,66.67,0.0
2015,66,22,26,6,33,14,6,2,75.0,81.25,70.21,75.0
2014,49,12,25,3,21,7,3,2,80.33,89.29,75.0,60.0
2013,75,7,38,2,36,4,0,1,91.46,95.0,90.0,0.0
2012,43,7,23,1,18,4,2,2,86.0,95.83,81.82000000000001,50.0
2011,71,15,24,2,33,11,8,2,82.56,92.31,75.0,80.0
2010,73,10,22,0,42,9,9,1,87.94999999999999,100.0,82.35,90.0
2009,68,15,21,2,43,13,0,0,81.93,91.3,76.79,0.0
2008,82,11,22,1,45,10,12,0,88.17,95.65,81.82000000000001,100.0
2007,70,15,31,1,31,12,8,2,82.35,96.88,72.09,80.0
2006,59,12,24,0,25,10,8,2,83.1,100.0,71.43,80.0
2005,79,10,48,2,28,6,1,2,88.75999999999999,96.0,82.35,33.33
2004,30,17,12,3,15,13,0,0,63.83,80.0,53.56999999999999,0.0
2003,52,22,32,9,18,12,2,1,70.27,78.05,60.0,66.67
2002,45,7,40,7,5,0,0,0,86.53999999999999,85.11,100.0,0.0
