Year,Summary,Clay,Hard,Indoor,Grass,Not Set
2021,9/4,3/1,1/1,-,5/2,-
2020,5/1,-,5/1,-,-,-
2019,57/10,9/2,29/5,8/2,11/1,-
2018,54/10,-,26/5,16/3,12/2,-
2017,56/6,-,34/4,10/1,12/1,-
2016,21/7,3/2,8/2,-,10/3,-
2015,64/14,13/4,28/7,10/2,11/1,2/0
2014,75/12,7/3,42/6,11/1,9/1,6/1
2013,45/17,12/5,17/6,11/5,5/1,-
2012,71/14,13/2,30/6,11/3,15/2,2/1
2011,65/13,12/4,31/8,15/0,4/1,3/0
2010,66/14,10/4,31/7,17/1,8/2,-
2009,65/13,17/2,33/7,6/4,7/0,2/0
2008,66/15,21/4,26/10,7/0,11/1,1/0
2007,70/10,16/3,40/6,6/1,6/0,2/0
2006,94/6,16/3,59/3,5/0,12/0,2/0
2005,84/4,14/2,47/2,10/0,12/0,1/0
2004,75/7,14/2,43/4,2/1,12/0,4/0
2003,78/17,15/4,30/9,16/3,12/0,5/1
2002,58/22,8/4,24/10,17/5,5/3,4/0
2001,49/21,9/5,10/5,18/7,9/3,3/1
2000,39/31,3/7,13/11,19/9,2/3,2/1
1999,30/24,4/6,3/5,19/7,3/3,1/3
1998,2/4,0/2,2/1,0/1,-,-
