Year,Summary,Clay,Hard,Indoor,Grass,Not Set
2021,25/7,19/3,6/4,-,-,-
2020,29/7,9/1,15/3,5/3,-,-
2019,58/10,21/3,21/3,6/1,5/3,5/0
2018,46/6,24/1,14/3,-,6/2,2/0
2017,72/13,24/1,41/8,3/2,4/2,-
2016,41/14,21/4,20/10,-,-,-
2015,66/22,26/6,24/11,9/3,6/2,1/0
2014,49/12,25/3,19/6,2/1,3/2,-
2013,75/7,38/2,29/2,7/2,0/1,1/0
2012,43/7,23/1,18/4,-,2/2,-
2011,71/15,24/2,32/9,1/2,8/2,6/0
2010,73/10,22/0,36/7,6/2,9/1,-
2009,68/15,21/2,36/8,7/5,-,4/0
2008,82/11,22/1,42/8,3/2,12/0,3/0
2007,70/15,31/1,27/11,4/1,8/2,-
2006,59/12,24/0,21/8,4/2,8/2,2/0
2005,79/10,48/2,28/6,-,1/2,2/0
2004,30/17,12/3,14/10,1/3,-,3/1
2003,52/22,32/9,7/3,11/9,2/1,-
2002,45/7,40/7,5/0,-,-,-
2001,1/1,1/1,-,-,-,-
